Layer name	 IFMAP Height	 IFMAP Width	 Filter Height	 Filter Width	 Channels	 Num Filter	 Strides	 
Conv1_1	572	572	3	3	1	64	1	
Conv1_2	570	570	3	3	64	64	1	
Conv2_1	284	284	3	3	64	128	1	
Conv2_2	282	282	3	3	128	128	1	
Conv3_1	140	140	3	3	128	256	1	
Conv3_2	138	138	3	3	256	256	1	
Conv4_1	68	68	3	3	256	512	1	
Conv4_2	66	66	3	3	512	512	1	
Conv5_1	32	32	3	3	512	1024	1	
Conv5_1	30	30	3	3	1024	1024	1	
TR_Conv1	28	28	2	2	1024	512	1	
Conv4_3	56	56	3	3	1024	512	1	
Conv4_4	54	54	3	3	512	512	1	
TR_Conv2	52	52	2	2	512	512	1	
Conv3_3	104	104	3	3	512	256	1	
Conv3_4	102	102	3	3	256	256	1	
TR_Conv3	100	100	2	2	256	128	1	
Conv2_3	200	200	3	3	256	128	1	
Conv2_4	198	198	3	3	128	128	1	
TR_Conv3	196	196	2	2	128	64	1	
Conv1_3	392	392	3	3	128	64	1	
Conv1_4	390	390	3	3	64	64	1	
Conv1_5	388	388	1	1	64	2	1	